GEOID,STUSPS,NAME,casc_region
22,LA,Louisiana,South Central
02,AK,Alaska,Alaska
24,MD,Maryland,North East
55,WI,Wisconsin,Midwest
12,FL,Florida,South East
13,GA,Georgia,South East
47,TN,Tennessee,South East
27,MN,Minnesota,Midwest
19,IA,Iowa,Midwest
29,MO,Missouri,Midwest
26,MI,Michigan,Midwest
16,ID,Idaho,North West
06,CA,California,South West
09,CT,Connecticut,North East
48,TX,Texas,South Central
51,VA,Virginia,North East
36,NY,New York,North East
17,IL,Illinois,Midwest
30,MT,Montana,North Central
21,KY,Kentucky,North East
41,OR,Oregon,North West
11,DC,District of Columbia,North East
39,OH,Ohio,Midwest
05,AR,Arkansas,South East
53,WA,Washington,North West
72,PR,Puerto Rico,Puerto Rico
56,WY,Wyoming,North Central
23,ME,Maine,North East
35,NM,New Mexico,South Central
49,UT,Utah,South West
54,WV,West Virginia,North East
20,KS,Kansas,North Central
32,NV,Nevada,South West
28,MS,Mississippi,South East
33,NH,New Hampshire,North East
01,AL,Alabama,South East
46,SD,South Dakota,North Central
42,PA,Pennsylvania,North East
40,OK,Oklahoma,South Central
37,NC,North Carolina,South East
25,MA,Massachusetts,North East
38,ND,North Dakota,North Central
10,DE,Delaware,North East
08,CO,Colorado,North Central
45,SC,South Carolina,South East
15,HI,Hawaii,Hawaii
50,VT,Vermont,North East
44,RI,Rhode Island,North East
18,IN,Indiana,Midwest
34,NJ,New Jersey,North East
04,AZ,Arizona,South West
31,NE,Nebraska,North Central
